C type;Fortran type;Fortran KIND
int;integer(c_int);c_int
gint;integer(c_int);c_int
guint;integer(c_int);c_int
Bool;integer(c_int);c_int
GPid;integer(c_int);c_int
gint64;integer(c_int64_t);c_int64_t
goffset;integer(c_int64_t);c_int64_t
guint64;integer(c_int64_t);c_int64_t
gint32;integer(c_int32_t);c_int32_t
guint32;integer(c_int32_t);c_int32_t
GdkWChar;integer(c_int32_t);c_int32_t
xcb_drawable_t;integer(c_int32_t);c_int32_t
xcb_pixmap_t;integer(c_int32_t);c_int32_t
uid_t;integer(c_int32_t);c_int32_t
gint16;integer(c_int16_t);c_int16_t
guint16;integer(c_int16_t);c_int16_t
gint8;integer(c_int8_t);c_int8_t
guint8;integer(c_int8_t);c_int8_t
long;integer(c_long);c_long
gulong;integer(c_long);c_long
time_t;integer(c_long);c_long
short;integer(c_short);c_short
boolean;logical(c_bool);c_bool
char;character(kind=c_char);c_char
gchar;integer(kind=c_int8_t);c_int8_t
guchar;integer(kind=c_int8_t);c_int8_t
double;real(c_double);c_double
float;real(c_float);c_float
gsize;integer(c_size_t);c_size_t
gssize;integer(c_size_t);c_size_t
GType;integer(c_size_t);c_size_t
size_t;integer(c_size_t);c_size_t
va_list;type(c_ptr);c_ptr
gpointer;type(c_ptr);c_ptr
GdkAtom;type(c_ptr);c_ptr
GC;type(c_ptr);c_ptr
GIConv;type(c_ptr);c_ptr
GSignalCMarshaller;type(c_ptr);c_ptr
FT_Face;type(c_ptr);c_ptr
Window;integer(c_long);c_long
Drawable;integer(c_long);c_long
Font;integer(c_long);c_long
Pixmap;integer(c_long);c_long
Cursor;integer(c_long);c_long
Colormap;integer(c_long);c_long
GContext;integer(c_long);c_long
Atom;integer(c_long);c_long
Picture;integer(c_long);c_long
XID;integer(c_long);c_long
VisualID;integer(c_long);c_long
Time;integer(c_long);c_long
KeyCode;character(kind=c_char);c_char
KeySym;integer(c_long);c_long
GWin32OSType;integer(c_int);c_int
cairo_bool_t;integer(c_int);c_int
gchararray;integer(kind=c_int8_t);c_int8_t
GRefString;character(kind=c_char);c_char
gshort;integer(c_short);c_short
glong;integer(c_long);c_long
gboolean;integer(c_int);c_int
gfloat;real(c_float);c_float
gdouble;real(c_double);c_double
grefcount;integer(c_int);c_int
gatomicrefcount;integer(c_int);c_int
GDateYear;integer(c_int16_t);c_int16_t
GDateDay;integer(c_int8_t);c_int8_t
gunichar;integer(c_int32_t);c_int32_t
gunichar2;integer(c_int16_t);c_int16_t
GQuark;integer(c_int32_t);c_int32_t
GTimeSpan;integer(c_int64_t);c_int64_t
bool;integer(c_int);c_int
PangoOTTag;integer(c_int32_t);c_int32_t
PangoGlyphUnit;integer(c_int32_t);c_int32_t
PangoGlyph;integer(c_int32_t);c_int32_t
long double;real(c_long_double);c_long_double
unsigned long;integer(c_long);c_long
unsigned short;integer(c_short);c_short
unsigned int;integer(c_int);c_int
